"clinic","client","gender","age","breed","food_quality","area","year","weight","BMI"
1,1,"F",15,"Persian","II","suburban","2017",7.8,26
1,1,"F",15,"Persian","II","suburban","2018",8,22
1,2,"M",10,"Persian","II","suburban","2017",13.7,35
1,2,"M",10,"Persian","II","suburban","2018",14.6,30
1,3,"F",14,"Burmese","II","suburban","2017",6.3,24
1,3,"F",14,"Burmese","II","suburban","2018",6.6,20
1,4,"F",7,"British Shorthair","I","suburban","2017",11,26
1,4,"F",7,"British Shorthair","I","suburban","2018",11.3,23
1,5,"M",6,"British Shorthair","II","urban","2017",9.6,18
1,5,"M",6,"British Shorthair","II","urban","2018",9.8,21
1,6,"M",5,"Siamese","I","urban","2017",12.6,21
1,6,"M",5,"Siamese","I","urban","2018",12.6,25
1,7,"M",13,"American Shorthair","III","suburban","2017",11,19
1,7,"M",13,"American Shorthair","III","suburban","2018",11,23
1,8,"M",11,"Burmese","III","urban","2017",8.9,25
1,8,"M",11,"Burmese","III","urban","2018",9.3,23
1,9,"F",9,"British Shorthair","III","suburban","2017",12.6,29
1,9,"F",9,"British Shorthair","III","suburban","2018",13.2,24
1,10,"F",9,"American Shorthair","II","suburban","2017",7.6,21
1,10,"F",9,"American Shorthair","II","suburban","2018",8,17
1,11,"M",13,"British Shorthair","IV","suburban","2017",10.4,19
1,11,"M",13,"British Shorthair","IV","suburban","2018",11,22
1,12,"F",9,"Burmese","I","urban","2017",13.8,40
1,12,"F",9,"Burmese","I","urban","2018",13.8,30
1,13,"F",7,"Persian","II","rural","2017",6.7,23
1,13,"F",7,"Persian","II","rural","2018",7.2,20
1,14,"M",6,"Maincoon","III","urban","2017",14.2,29
1,14,"M",6,"Maincoon","III","urban","2018",14.6,28
1,15,"M",7,"Maincoon","I","suburban","2017",8.4,20
1,15,"M",7,"Maincoon","I","suburban","2018",8.5,20
1,16,"F",1,"Maincoon","II","rural","2017",13.4,28
1,16,"F",1,"Maincoon","II","rural","2018",13.8,27
1,17,"M",16,"Burmese","II","suburban","2017",9.5,27
1,17,"M",16,"Burmese","II","suburban","2018",9.9,25
1,18,"F",4,"Siamese","I","suburban","2017",12.5,25
1,18,"F",4,"Siamese","I","suburban","2018",12.8,26
1,19,"F",7,"American Shorthair","II","urban","2017",11.1,29
1,19,"F",7,"American Shorthair","II","urban","2018",11.9,24
1,20,"M",5,"Maincoon","I","suburban","2017",13.4,28
1,20,"M",5,"Maincoon","I","suburban","2018",14.4,26
2,1,"F",13,"Burmese","III","rural","2017",13.5,40
2,1,"F",13,"Burmese","III","rural","2018",13.8,28
2,2,"M",11,"Persian","II","rural","2017",7.6,21
2,2,"M",11,"Persian","II","rural","2018",7.9,20
2,3,"M",12,"Burmese","I","suburban","2017",7.7,22
2,3,"M",12,"Burmese","I","suburban","2018",8,21
2,4,"F",14,"Burmese","II","suburban","2017",10.7,37
2,4,"F",14,"Burmese","II","suburban","2018",10.9,25
2,5,"M",6,"Persian","II","rural","2017",8.1,22
2,5,"M",6,"Persian","II","rural","2018",8.6,22
2,6,"F",10,"Maincoon","II","suburban","2017",15.6,31
2,6,"F",10,"Maincoon","II","suburban","2018",15.9,30
2,7,"M",8,"Maincoon","II","urban","2017",11.9,25
2,7,"M",8,"Maincoon","II","urban","2018",12.2,24
2,8,"F",5,"Maincoon","II","urban","2017",12.2,25
2,8,"F",5,"Maincoon","II","urban","2018",13.4,24
2,9,"M",9,"Burmese","III","urban","2017",5.9,18
2,9,"M",9,"Burmese","III","urban","2018",6.5,17
2,10,"M",7,"Burmese","III","rural","2017",13,35
2,10,"M",7,"Burmese","III","rural","2018",14,28
2,11,"M",17,"Burmese","II","urban","2017",12,33
2,11,"M",17,"Burmese","II","urban","2018",12.6,28
2,12,"M",19,"Siamese","II","urban","2017",6.3,11
2,12,"M",19,"Siamese","II","urban","2018",6.3,16
2,13,"M",20,"Maincoon","III","urban","2017",16.6,33
2,13,"M",20,"Maincoon","III","urban","2018",16.6,31
2,14,"F",14,"Siamese","II","rural","2017",9.6,19
2,14,"F",14,"Siamese","II","rural","2018",9.6,21
2,15,"F",6,"Persian","I","urban","2017",6.7,23
2,15,"F",6,"Persian","I","urban","2018",6.7,20
2,16,"F",13,"Burmese","II","suburban","2017",6.6,25
2,16,"F",13,"Burmese","II","suburban","2018",6.6,18
2,17,"M",13,"American Shorthair","IV","urban","2017",7.3,13
2,17,"M",13,"American Shorthair","IV","urban","2018",7.6,20
2,18,"M",15,"British Shorthair","III","suburban","2017",13.4,24
2,18,"M",15,"British Shorthair","III","suburban","2018",14,27
2,19,"M",14,"American Shorthair","I","suburban","2017",7.2,13
2,19,"M",14,"American Shorthair","I","suburban","2018",7.9,18
2,20,"M",10,"Maincoon","I","urban","2017",8.3,20
2,20,"M",10,"Maincoon","I","urban","2018",8.8,21
3,1,"F",5,"British Shorthair","II","urban","2017",8.1,19
3,1,"F",5,"British Shorthair","II","urban","2018",8.3,18
3,2,"M",15,"American Shorthair","I","urban","2017",12.7,22
3,2,"M",15,"American Shorthair","I","urban","2018",12.8,25
3,3,"M",14,"Persian","IV","suburban","2017",7.6,21
3,3,"M",14,"Persian","IV","suburban","2018",8,20
3,4,"F",5,"Persian","III","urban","2017",9.1,29
3,4,"F",5,"Persian","III","urban","2018",9.5,23
3,5,"M",14,"British Shorthair","II","rural","2017",9.1,17
3,5,"M",14,"British Shorthair","II","rural","2018",9.2,20
3,6,"M",6,"Burmese","II","urban","2017",9.9,28
3,6,"M",6,"Burmese","II","urban","2018",10.2,24
3,7,"M",7,"Burmese","III","suburban","2017",7.3,22
3,7,"M",7,"Burmese","III","suburban","2018",7.6,20
3,8,"F",8,"Maincoon","II","rural","2017",16,31
3,8,"F",8,"Maincoon","II","rural","2018",16.1,31
3,9,"M",18,"Burmese","IV","urban","2017",8.8,25
3,9,"M",18,"Burmese","IV","urban","2018",8.9,22
3,10,"F",9,"Siamese","I","suburban","2017",9.7,20
3,10,"F",9,"Siamese","I","suburban","2018",9.9,22
3,11,"F",9,"Burmese","III","urban","2017",12.9,40
3,11,"F",9,"Burmese","III","urban","2018",13.3,29
3,12,"M",12,"Maincoon","II","suburban","2017",11.2,24
3,12,"M",12,"Maincoon","II","suburban","2018",11.8,24
3,13,"M",3,"Maincoon","IV","suburban","2017",8.4,22
3,13,"M",3,"Maincoon","IV","suburban","2018",8.7,20
3,14,"M",3,"Siamese","II","rural","2017",8.3,15
3,14,"M",3,"Siamese","II","rural","2018",8.4,19
3,15,"M",1,"Siamese","II","urban","2017",12.4,21
3,15,"M",1,"Siamese","II","urban","2018",13.2,26
3,16,"F",11,"Persian","II","urban","2017",5.5,20
3,16,"F",11,"Persian","II","urban","2018",5.5,18
3,17,"F",13,"Siamese","II","rural","2017",15.5,31
3,17,"F",13,"Siamese","II","rural","2018",16,31
3,18,"M",10,"Burmese","IV","urban","2017",6.2,19
3,18,"M",10,"Burmese","IV","urban","2018",6.3,18
3,19,"M",13,"Persian","III","urban","2017",4.8,15
3,19,"M",13,"Persian","III","urban","2018",4.8,16
3,20,"M",12,"American Shorthair","II","suburban","2017",6.5,12
3,20,"M",12,"American Shorthair","II","suburban","2018",6.7,17
4,1,"M",11,"American Shorthair","I","urban","2017",8.3,15
4,1,"M",11,"American Shorthair","I","urban","2018",8.7,19
4,2,"F",16,"Burmese","IV","urban","2017",10.4,36
4,2,"F",16,"Burmese","IV","urban","2018",10.6,25
4,3,"F",11,"British Shorthair","II","suburban","2017",5.5,13
4,3,"F",11,"British Shorthair","II","suburban","2018",6.2,15
4,4,"M",10,"Persian","III","suburban","2017",7.7,21
